[2024-02-28 15:34:26,569: INFO: Welcome to our custom log.]
[2024-02-28 15:36:35,873: INFO: Welcome to our custom log.]
[2024-02-28 17:27:09,777: INFO: yaml file: config\config.yaml loaded successfully]
[2024-02-28 17:27:09,801: INFO: yaml file: params.yaml loaded successfully]
[2024-02-28 17:27:09,805: INFO: created directory at: artifacts]
[2024-02-28 17:30:44,521: INFO: yaml file: config\config.yaml loaded successfully]
[2024-02-28 17:30:44,522: INFO: yaml file: params.yaml loaded successfully]
[2024-02-28 17:30:44,529: INFO: created directory at: artifacts]
[2024-02-28 17:32:36,248: INFO: yaml file: config\config.yaml loaded successfully]
[2024-02-28 17:32:36,252: INFO: yaml file: params.yaml loaded successfully]
[2024-02-28 17:32:36,256: INFO: created directory at: artifacts]
[2024-02-28 17:32:36,258: INFO: created directory at: artifacts/data_ingestion]
[2024-02-29 15:52:41,242: INFO: yaml file: config\config.yaml loaded successfully]
[2024-02-29 15:52:41,259: INFO: yaml file: params.yaml loaded successfully]
[2024-02-29 15:52:41,262: INFO: created directory at: artifacts]
[2024-02-29 15:52:41,264: INFO: created directory at: artifacts/data_ingestion]
[2024-02-29 15:53:51,027: INFO: yaml file: config\config.yaml loaded successfully]
[2024-02-29 15:53:51,032: INFO: yaml file: params.yaml loaded successfully]
[2024-02-29 15:53:51,036: INFO: created directory at: artifacts]
[2024-02-29 15:53:51,038: INFO: created directory at: artifacts/data_ingestion]
[2024-02-29 15:53:51,040: INFO: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-02-29 15:54:00,743: INFO: Download data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-02-29 15:56:28,619: INFO: yaml file: config\config.yaml loaded successfully]
[2024-02-29 15:56:28,622: INFO: yaml file: params.yaml loaded successfully]
[2024-02-29 15:56:28,629: INFO: created directory at: artifacts]
[2024-02-29 15:56:28,632: INFO: created directory at: artifacts/data_ingestion]
[2024-02-29 15:56:28,634: INFO: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-02-29 15:56:35,509: INFO: Download data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-02-29 15:57:27,636: INFO: yaml file: config\config.yaml loaded successfully]
[2024-02-29 15:57:27,642: INFO: yaml file: params.yaml loaded successfully]
[2024-02-29 15:57:27,645: INFO: created directory at: artifacts]
[2024-02-29 15:57:27,649: INFO: created directory at: artifacts/data_ingestion]
[2024-02-29 15:57:27,652: INFO: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-02-29 15:57:33,722: INFO: Download data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
